Timestamp,Protocol,Source IP,Source Port,Destination IP,Destination Port,Packet Size,TCP Flags
2026-08-30 14:14:05,UDP,192.168.1.111,57622,159.124.61.107,8801,69,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,398,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,56788,1204,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,425,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:05,UDP,192.168.1.111,57622,159.124.61.107,8801,69,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,56788,789,-
2026-08-30 14:14:05,TCP,20.184.175.16,443,192.168.1.111,49366,56,A
2026-08-30 14:14:05,TCP,20.184.175.16,443,192.168.1.111,49366,56,A
2026-08-30 14:14:05,TCP,20.184.175.16,443,192.168.1.111,49366,56,A
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:05,UDP,192.168.1.111,57622,159.124.61.107,8801,76,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,56788,628,-
2026-08-30 14:14:05,UDP,192.168.1.111,57622,159.124.61.107,8801,69,-
2026-08-30 14:14:05,TCP,20.184.175.16,443,192.168.1.111,49366,93,PA
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,455,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:05,TCP,170.114.4.254,443,192.168.1.111,54789,54,A
2026-08-30 14:14:05,TCP,170.114.4.254,443,192.168.1.111,54789,267,PA
2026-08-30 14:14:05,TCP,192.168.1.111,49366,20.184.175.16,443,54,A
2026-08-30 14:14:05,TCP,20.184.175.4,443,192.168.1.111,56731,153,PA
2026-08-30 14:14:05,TCP,192.168.1.111,56731,20.184.175.4,443,491,PA
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,56788,864,-
2026-08-30 14:14:05,UDP,192.168.1.111,57622,159.124.61.107,8801,69,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:05,UDP,192.168.1.111,56788,159.124.61.107,8801,193,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:05,TCP,192.168.1.111,54789,170.114.4.254,443,54,A
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,498,-
2026-08-30 14:14:05,TCP,159.124.61.107,443,192.168.1.111,52091,133,PA
2026-08-30 14:14:05,TCP,192.168.1.111,52091,159.124.61.107,443,104,PA
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,549,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,56788,1239,-
